Suburb,Postcode,LGA,Area,Suburb Rating,No. of Reviews,"Suburb
Rank (th)",Great for,Not great for,Who lives here?,"Distance to 
RWH 
(PTV)
(8:30am Arrival)","Distance to 
Leidos CBD 
(PTV)
(8:30am Arrival)","Distance to 
Leidos Scoresby 
(Driving)
(6:45am Arrival)
NO TOLLS","Distance to 
Leidos Scoresby 
(Driving)
(8:30am Arrival)
NO TOLLS","Distance from 
Leidos Scoresby 
(Driving)
(5:00pm Leaving)
NO TOLLS","Distance to 
St. Vincent's 
(PTV)
(8:30am Arrival)","Distance to 
Peter MacCallum Cancer Centre
(PTV)
(8:30am Arrival)","Distance to 
Dr Dax
Uni Melb
(PTV)
(8:30am Arrival)","Crime Rank
Out of 100
Lower Better","Crime per 
1000 People","Violent Crime 
per 1000 People","Property Crime 
per 1000 People","Suburbs with 
Less Violent Crimes","Suburbs with 
Less Property Crimes","Chances of 
Becoming Victim 
of Violent Crime",Is Safe Suburb,Main Crime Problems
,,,,,,,,,,"20 Flemington Rd, Parkville VIC 3052","385 Bourke St, Melbourne VIC 3000","1332 High St Rd, Wantirna South VIC 3152","l2/42 Lakeview Dr, Scoresby VIC 3179","l2/42 Lakeview Dr, Scoresby VIC 3179","41 Victoria Parade, Fitzroy VIC 3065","305 Grattan St, Melbourne VIC 3052","30 Royal Parade, Parkville VIC 3052",,,,,,,,,
Edithvale,3196,City of Kingston,South East,4.8,39,1,"Parks and recreation
Public transport
Neighbourly spirit
Safe and sound
Peace and quiet",No ratings yet,"Families With Kids
Professionals
Singles
Beach Lovers
Hipsters",70,58,38,35,34,68,67,68,10,33.78,3.03,19.92,58.85%,63.85%,1 in 330,Considered safe area,"Theft
Breaches of orders
Burglary/break and enter"
Wattle Glen,3096,Shire of Nullumbik,North,4.7,7,4,"Clean & green
Peace and quiet
Safe and sound
Neighbourly spirit
Parks and recreation","Nightlife
Shopping options","Families With Kids
Professionals
Retirees
Country Lovers",91,74,41,47,46,77,88,89,10,10.99,0.52,5.76,52.16%,39.09%,1 in 1911,Considered safe area,"Theft
Property damage
Deception"
Sandringham,3191,City of Bayside,South East,4.7,12,5,"Internet access
Public transport
Resale or rental value
Schools
Gym and fitness",No ratings yet,"Families With Kids
Professionals
Singles
Retirees",70,54,41,40,40.2,59,64,65,11,49.88,3.94,32.31,62.39%,76.97%,1 in 254,Relatively safe area,"Theft
Burglary/break and enter
Property damage"
Mordialloc,3195,City of Kingston,South East,4.7,11,6,"Parks and recreation
Public transport
Schools
Resale or rental value
Pest-free",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Beach Lovers",76,64,34,32,32,75,73,74,16,68.65,8.89,36.69,77.40%,79.79%,1 in 112,Moderately safe,"Theft
Assault and related offences
Breaches of orders"
Beaconsfield,3807,Shire of Cardinia,South East,4.7,13,7,"Safe and sound
Schools
Parks and recreation
Peace and quiet
Clean & green",No ratings yet,"Families With Kids
Retirees
Professionals
Students
Country Lovers",95,81,29,29,33,90,92,94,10,34.81,5.09,19.27,66.36%,62.98%,1 in 196,Considered safe area,"Theft
Assault and related offences
Breaches of orders"
Oakleigh South,3167,City of Monash,South East,4.7,10,8,"Parking
Public transport
Internet access
Parks and recreation
Safe and sound",Nightlife,"Families With Kids
Professionals
Singles
Retirees
Students",67,52,25,23,22,59,63,65,10,45.48,3.35,30.45,60.10%,75.56%,1 in 299,Considered safe area,"Theft
Burglary/break and enter
Breaches of orders"
Ringwood North,3134,City of Manningham & City of Maroondah,East,4.7,11,9,"Parks and recreation
Internet access
Safe and sound
Resale or rental value
Neighbourly spirit",Nightlife,"Families With Kids
Professionals
Retirees
Singles
Country Lovers",81,66,20,26,26,71,72,74,10,15.56,1.51,9.23,53.63%,45.54%,1 in 664,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Cheltenham,3192,City of Kingston,South East,4.7,30,10,"Internet access
Clean & green
Safe and sound
Schools
Neighbourly spirit",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Beach Lovers",72,59,36,35,32,70,68,70,15,74.15,7.79,49.39,74.97%,86.09%,1 in 128,Relatively safe area,"Theft
Burglary/break and enter
Property damage"
McKinnon,3204,City of Glen Eira,South East,4.7,5,11,"Parking
Public transport
Parks and recreation
Schools
Internet access",Nightlife,"Families With Kids
Professionals
Singles
Retirees
Fashion Conscious",59,43,33,32,31,46,53,55,10,28.93,3.49,19.48,60.66%,63.22%,1 in 287,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Kingsville,3012,City of Maribyrnong,Western,4.7,7,12,"Peace and quiet
Safe and sound
Neighbourly spirit
Parks and recreation
Internet access",No ratings yet,"Professionals
Families With Kids
Singles
Retirees
Fashion Conscious",44,37,55,57,52,39,41,44,10,39.29,2.55,29.34,56.86%,74.49%,1 in 392,Considered safe area,"Theft
Property damage
Burglary/break and enter"
Montrose,3765,Shire of Yarra Ranges,East,4.7,7,13,"Clean & green
Safe and sound
Peace and quiet
Resale or rental value
Neighbourly spirit",Nightlife,"Families With Kids
Professionals
Retirees
Singles
Country Lovers",104,82,23,30,29,90,99.4,102,10,17.1,2.17,8.41,55.51%,43.91%,1 in 460,Considered safe area,"Theft
Property damage
Burglary/break and enter"
Donvale,3111,City of Manningham,East,4.7,18,14,"Internet access
Parking
Parks and recreation
Clean & green
Schools",Nightlife,"Families With Kids
Professionals
Retirees
Singles
Country Lovers",91,66,21,28,28,54,88,80,10,21.12,2.77,11.71,57.73%,50.06%,1 in 361,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Delahey,3037,City of Brimbank,Western,4.7,6,15,"Neighbourly spirit
Parks and recreation
Peace and quiet
Safe and sound
Pest-free",Parking,"Families With Kids
Professionals
Retirees
Singles",65,65,70,76,70,67,62,69,10,27.24,4.83,13.62,65.52%,53.66%,1 in 207,Considered safe area,"Theft
Assault and related offences
Breaches of orders"
Chelsea,3196,City of Kingston,South East,4.7,13,16,"Resale or rental value
Gym and fitness
Parks and recreation
Public transport
Safe and sound",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Tourists",72,60,38,37,37.2,70,69,70,15,67.09,8.03,36.9,75.53%,79.91%,1 in 125,Relatively safe area,"Theft
Assault and related offences
Breaches of orders"
Kilsyth,3137,City of Maroondah & Shire of Yarra Ranges,East,4.7,5,18,"Clean & green
Peace and quiet
Safe and sound
Neighbourly spirit
Parks and recreation",No ratings yet,"Families With Kids
Professionals
Singles
Retirees",107,86,18,24,24,104,102.4,105,10,36.67,5.56,15.9,68.21%,57.60%,1 in 180,Considered safe area,"Theft
Breaches of orders
Assault and related offences"
Belgrave,3160,Shire of Yarra Ranges,East,4.7,16,19,"Parks and recreation
Neighbourly spirit
Peace and quiet
Public transport
Clean & green",No ratings yet,"Families With Kids
Professionals
Singles
Tourists
Country Lovers",85,68,19,23,23,82,80,81,16,60.86,8.47,32.61,76.49%,77.16%,1 in 118,Moderately safe,"Property damage
Theft
Breaches of orders"
Beaumaris,3193,City of Bayside,South East,4.6,18,22,"Schools
Safe and sound
Parks and recreation
Neighbourly spirit
Eating out",No ratings yet,"Families With Kids
Professionals
Retirees
Beach Lovers
Singles",84,73,43,40.8,39,75,80,82,10,27.75,1.79,19.86,54.31%,63.78%,1 in 558,Considered safe area,"Theft
Burglary/break and enter
Property damage"
Chelsea Heights,3196,City of Kingston,South East,4.6,10,23,"Neighbourly spirit
Parks and recreation
Public transport
Clean & green
Safe and sound",Parking,"Families With Kids
Professionals
Retirees
Singles
Beach Lovers",102,76,35,33,34.2,88,100,101,10,40.61,3.71,24.11,61.47%,69.42%,1 in 270,Considered safe area,"Theft
Breaches of orders
Burglary/break and enter"
Keilor East,3033,City of Brimbank,Western,4.6,16,24,"Parking
Internet access
Safe and sound
Neighbourly spirit
Clean & green",Nightlife,"Families With Kids
Professionals
Singles
Retirees
LGBTQ+",76,70,64,67.8,64.6,67,76,79,10,32.23,3.52,19.83,60.79%,63.74%,1 in 284,Considered safe area,"Theft
Burglary/break and enter
Property damage"
